v(MPa),dmm,inva,rofc
1.54,270,0.001234568,0.92752
0.9,270,0.000617665,0.72709
1.26,208,0.001821494,0.47139
1.01,465,0.000625,0.778
0.68,267,0.000681663,0.26332
2.5,207,0.001610306,3.08772
1.47,207,0.001251564,0.97768
1.25,172,0.001605136,0.7337
1.12,372,0.000896057,0.63342
2.97,207,0.001666667,0.97768
1.62,153,0.001751313,1.4539
0.75,465,0.000625,0.66
1.65,366,0.000910747,2.74655
3.14,267,0.001510574,2.77444
1.73,207,0.001792115,2.07336
1.9,203,0.00125,2.24756
0.7,250,0.000985222,0.17853
0.96,250,0.001123596,0.541
1.86,250,0.001333333,0.8115
3.03,208,0.001779359,1.062
0.95,250,0.001333333,0.39493
1.25,267,0.00149925,0.28072
2.43,195,0.001428571,1.48741
2.41,250,0.001,4.712
1.18,348,0.000814332,0.85822
2.32,184,0.001356852,4.22304
2.51,207,0.001207729,2.44296
1.02,267,0.00125,0.28478
0.48,250,0.000787402,0.17853
1.65,250,0.001,4.1952
1.79,348,0.000814332,1.67132
0.7,925,0.000375375,0.73416
1.31,250,0.000787402,0.8115
1.23,268,0.000931966,1.53964
1.64,359,0.000925069,1.89504
1.23,268,0.000931966,1.87636
0.88,250,0.001123596,0.17853
2.34,328,0.000813008,3.44792
1.67,356,0.000535619,1.66566
0.67,925,0.000375375,0.63226
1.17,250,0.000714286,0.8115
2.79,305,0.001111111,2.3919
1.68,250,0.001123596,0.8115
2.78,267,0.001510574,2.26047
1.19,267,0.000937207,0.51788
3.79,203,0.001663894,2.24756
0.73,250,0.000881057,0.39493
1.22,230,0.001242236,1.1661
1.26,225,0.001506024,0.85974
4.08,267,0.001510574,3.55787
2.2,298.5,0.000959693,3.12958
1.67,135,0.001481481,1.692
0.88,250,0.000985222,0.541
1.17,267,0.000937207,0.41064
1.22,270,0.000925926,0.75089
1.39,270,0.000823045,0.92752
1.45,366,0.00068306,2.74655
2.05,221,0.001508296,1.37228
1.75,135,0.002469136,0.51272
2.36,193,0.001426534,1.3365
1.46,178,0.001231527,1.49264
1.58,267,0.00149925,0.30566
1.85,208,0.001602564,1.062
2.95,184,0.002012072,4.22304
2.25,207,0.001207729,1.67184
1.08,250,0.000655738,1.082
0.7,925,0.000375375,0.96556
1.73,267,0.001248439,1.6616
1.33,655,0.00047259,2.43648
2.48,193,0.001426534,1.82484
2.37,203,0.00125,2.24756
2.77,207,0.001207729,1.67184
2.93,267,0.001510574,2.68961
0.75,267,0.000749625,0.26738
2.29,194,0.001428571,1.8495
1.75,221,0.001508296,0.93912
1.2,718,0.000380518,1.57036
3.54,203,0.001663894,2.60498
1.83,690,0.000380373,3.27369
1.39,250,0.000881057,0.8115
1.73,211,0.001814882,0.93345
1.5,267,0.001071811,0.567
1.03,267,0.000833333,0.45936
2.81,196,0.001428571,2.2919
1.49,368,0.000679348,1.642
2.84,250,0.001333333,4.0432
1.32,267,0.00125,0.5481
1.27,278,0.001231527,0.78657
1.22,272,0.00122549,0.50096
1.96,298.5,0.000959693,2.47828
2.11,215,0.001858736,1.86992
1.3,267,0.00125,0.42804
0.9,267,0.000625,0.43152
0.57,250,0.000714286,0.39493
1.62,250,0.000985222,0.8115
0.62,925,0.000375375,0.78376
0.98,465,0.000625,0.778
1.31,267,0.001071811,0.41499
2.67,203,0.001821494,2.358
1.37,550,0.000606061,0.93248
1.19,267,0.00125,0.43152
1.97,191,0.001430615,0.9605
0.86,746,0.000379795,0.7636
4.08,267,0.001517451,4.07836
1.53,172,0.002252252,0.7598
1.56,152,0.001879699,0.58926
1.08,250,0.000655738,0.8115
2.55,196,0.001428571,2.20246
0.74,267,0.000833333,0.28826
2.67,203,0.001639344,2.358
